PlaylistStandardizedNameMapID,PlaylistName,StandardizedName,Frequency
222,Smooth,Smooth,456
223,bops ,Bops,455
224,jam,Jam,453
225,Work out,Workout,449
226,fire,Fire,448
227,school,School,446
228,alt,Alt,445
229,Slow Jams,Slow Jams,439
230,bangers,Bangers,431
231,Corridos,Corridos,431
232,Yoga,Yoga,429
233,Christmas Music,Christmas,428
234,turnt,Turntable,425
235,Dad,Dad,423
236,Hip hop,Hip Hop,422
237,2013,2013,421
238,Spring 2016,2016,420
239,Party Playlist,Party,418
240,Mom,Mom,414
241,yes,Yes,411
242,Everything,Music,411
243,New Music,New,411
244,My songs,Music,410
245,Vibe,Vibe,409
246,Fall 2015,2015,408
247,Latin,Latin,408
248,sad songs,Sad,407
249,Easy Listening ,Easy Listening,407
250,summer 2016,2016,407
251,Jesus,Christian,405
252,cool,Cool,399
253,New Country,Country,399
254,vibin,Vibes,399
255,Old,Oldies,399
256,chill out,Chill,399
257,September,Fall,399
258,Good Music,Music,398
259,Dinner,Dinner,398
260,Good Stuff,Music,398
261,jazz,Jazz,396
262,Best,Music,395
263,October,October,394
264,Piano,Piano,393
265,soft,Soft,393
266,Good,Music,392
267,Folk,Folk,391
268,School,School,390
269,sex,Sex,388
270,new new,New,388
271,good music,Music,388
272,#boostyourrun,Run,386
273,summer 16,2016,385
274,Summer 2013,2013,384
275,The Feels,Feels,384
276,Dance Party,Party,382
277,dope,Dope,380
278,PARTY ,Party,376
279,lol,LOL,376
280,nostalgia,Nostalgia,374
281,my songs ,Music,372
282,mine,Music,372
283,october ,Fall,371
284,August ,Summer,371
285,Relaxing,Relax,369
286,car rides,Car,368
287,70s,80s,368
288,Hip-Hop,Hip Hop,367
289,Soundtracks,Soundtracks,366
290,Motown,Motown,365
291,love songs,Love,365
292,Homework,Study,364
293,Car Jams,Car,363
294,Broadway,Broadway,362
295,best,Music,361
296,Gaming,Gaming,361
297,Me,Music,360
298,Spring,Spring,360
299,Sunday,Sunday,360
300,Turn Up,Turn Up,359
301,the feels,Feels,359
302,me,Music,358
303,Dope,Dope,358
304,childhood,Childhood,357
305,Road trip ,Car,357
306,Classic rock,Classic Rock,357
307,Tunes ,Music,356
308,RAP,Rap,355
309,2000's ,2000s,354
310,yoga,Yoga,351
311,SUMMER,Summer,350
312,Jammin,Jamming,349
313,Praise,Worship,346
314,HYPE,Hype,346
315,ok,Music,345
316,Morning,Morning,343
317,Favorite Songs,Favorite,343
318,Other,Music,342
319,Home,Home,342
320,hi,Music,341
321,Chill Music,Chill,341
322,Cocktail Hour,Cocktail,341
323,Classic Country,Classic Country,341
324,Guilty Pleasures,Guilty Pleasures,339
325,GYM,Workout,339
326,Pump Up,Pump Up,338
327,Groove,Groove,336
328,April,Spring,335
329,Turnt,Turntable,334
330,jammin,Jamming,332
331,Summer 16,2016,330
332,Texas Country,Country,328
333,everything,Music,327
334,Summer '17,2017,327
335,acoustic,Acoustic,326
336,Christian Music,Christian,324
337,Chill Out,Chill,323
338,Soft,Soft,322
339,beats,Beats,322
340,RUN,Run,322
341,Current,New,321
342,Litty ,Lit,321
343,SoundHound,SoundHound,320
344,september ,Fall,320
345,sleepy,Sleep,320
346,Party Mix,Party,319
347,feelings,Feel,318
348,Reception,Party,318
349,70's,70s,318
350,Idk,Music,317
351,bump,Bump,317
352,Old Country,Country,317
353,Wedding Songs,Wedding,317
354,Love songs,Love,316
355,Trance,Trance,316
356,spring,Spring,313
357,now,Now,313
358,Electro,Electronic,312
359,November,Fall,311
360,halloween,Halloween,311
361,morning,Morning,309
362,May,Spring,308
363,musicals,Musicals,308
364,Bluegrass,Bluegrass,306
365,summer '17,2017,305
366,THROWBACK,Throwback,304
367,Favorite,Favorite,303
368,Kids,Kids,303
369,Latino,Spanish,302
370,groovy,Groove,302
371,Grad Party,Graduation,300
372,car ride,Car,300
373,Kpop,K-Pop,299
374,Sunday Morning,Sunday,299
375,Sex,Sex,298
376,emo,Emo,298
377,Girl Power,Girl Power,298
378,Groovy,Groovy,298
379,Turn up,Turn Up,297
380,espaÃ±ol,Spanish,295
381,Focus,Focus,293
382,slow jams,Slow Jams,293
383,Feel good,Feel Good,293
384,pre game ,Pregame,292
385,smooth ,Smooth,292
386,soul,Soul,291
387,June,Spring,291
388,homework,Homework,291
389,mom,Mom,290
390,august,Summer,289
391,Techno,Techno,289
392,clean,Cleaning,289
393,xmas,Christmas,287
394,Studying,Study,286
395,Instrumentals ,Instrumental,286
396,Now,Now,286
397,NYE,NYE,283
398,July,Summer,283
399,Oldies but goodies,Oldies,280
400,Mixtape,Mixtape,280
401,March,Spring,280
402,Good Songs,Music,280
403,july,July,279
404,Chillax,Chill,278
405,Summertime ,Summer,277
406,winter,Winner,277
407,yo,Yo,277
408,banda,Banda,275
409,Pump up,Pump Up,274
410,Childhood,Childhood,274
411,Study Music,Study,273
412,JAMS,Jams,273
413,My Jams,Jams,272
414,My High-Intensity Workout,Workout,272
415,Spring 2015,2015,272
416,nice,Nice,271
417,Bump,Bump,271
418,Summer Vibes,Summer,271
419,Cool,Cool,269
420,dad,Dad,269
421,17,2017,269
422,May-17,2017,268
423,WORKOUT,Workout,268
424,Winter,Winter,267
425,Comedy,Comedy,267
426,yuh,Yuh,267
427,Fall 2014,2014,266
428,NEW,New,264
429,December,Winter,263
430,june,Spring,263
431,Good songs,Music,263
432,kpop,K-Pop,262
433,Country Jams,Country,262
434,The Good Stuff,Music,261
435,new music,New,260
436,Yes,Yes,259
437,????????????,????,259
438,old country ,Country,259
439,upbeat,Upbeat,258
440,Winter 2016,2016,258
441,Country Music ,Country,258
442,fav songs ,Music,257
443,The Feel-Good Flavors Playlist,Feel Good,256
444,Rainy Day,Rainy Day,256
445,march ,Spring,255
446,Summer Jams,Summer,255
447,r&b,R&B,255
448,april,Spring,254
449,The Classics,Classics,254
450,summa,Summer,253
451,Bass ,Bass,252
452,summer 2015,2015,252
453,new country,Country,252
454,TB ,Throwback,252
455,old songs ,Old,251
456,Â¯\_(?)_/Â¯,Â¯\_(?)_/Â¯,250
457,Hits,Hits,250
458,party playlist,Party,250
459,California,California,249
460,grad party,Graduation,249
461,bumpin,Bump,248
462,house,House,248
463,vibez,Vibes,248
464,Motivation,Motivation,244
465,Travel,Car,244
466,other,Other,243
467,may,Spring,243
468,Emo,Emo,243
469,New Stuff,New,242
470,Wedding Reception,Wedding,242
471,yeet,Yeet,242
472,Noosa Tastiest Playlist,Noosa Tastiest Playlist,242
473,Summer Country,Summer Country,241
474,chill music,Chill,240
475,Cumbias,Cumbias,240
476,Christmas!,Christmas,239
477,dubstep,Dubstep,238
478,Xmas,Christmas,238
479,Ride,Car,238
480,Play it Forward,Play it Forward,238
481,my jams ,Jams,237
482,favorite songs ,Favorite,237
483,Workout Playlist,Workout,236
484,punk,Punk,236
485,My Songs,Music,236
486,Mar-17,2017,235
487,november ,Fall,234
488,Autumn,Fall,234
489,Awesome,Awesome,233
490,windows down,Car,233
491,new stuff,New,232
492,Bangerz,Bangers,232
493,instrumental,Instrumental,231
494,Main,Main,231
495,Slow Jamz,Slow Jams,230
496,RnB,R&B,229
497,current,New,228
498,OG,OG,228
499,All,All,228
500,Chill Rap,Rap,227
501,Everyday,Music,227
502,favorite,Favorite,227
503,Jun-17,2017,226
504,reggaeton,Reggae,226
505,Summer '16,2016,225
506,DANCE,Dance,225
507,Church,Christian,225
508,Life ,Life,223
509,Disco,Disco,222
510,metal,Metal,222
511,Chillin',Chill,221
512,Sad Songs,Sad,221
513,Jul-17,2017,221
514,Good music ,Music,221
515,Good stuff,Music,221
516,summer vibes,Summer,220
517,My Country,Country,220
518,Hymns,Christian,220
519,werk,Work,219
520,Lifting ,Workout,219
521,Good vibes,Vibes,219
522,Fresh,Fresh,218
523,Cardio,Workout,218
524,Meditation ,Meditation,218
525,yeah,Yeah,217
526,ROCK,Rock,217
527,jesus,Christian,217
528,4th of July,July 4th,217
529,aye,Aye,217
530,Christian Rap,Christian Rap,216
531,Cruise,Car,216
532,Clean,Cleaning,216
533,January,Winter,216
534,Feelings,Feel,216
535,gospel,Gospel,216
536,Apr-17,2017,216
537,Lounge,Lounge,215
538,Easy,Easy,215
539,Zumba,Zumba,214
540,Hindi,Hindi,214
541,Old Skool,Old Skool,213
542,Inspiration,Inpsiration,213
543,Jesus Jams,Christian,212
544,Electronica,Electronic,212
545,salsa,Salsa,211
546,Sexy,Sex,211
547,Trip,Car,211
548,chill rap,Rap,210
549,Heavy ,Heavy,210
550,Cleaning,Cleaning,210
551,Camp,Camp,210
552,College ,College,210
553,for you,Music,210
554,plane,Plane,209
555,2k17,2017,208
556,Vibin,Vibes,208
557,Pop Punk,Pop Punk,208
558,yup,Yup,208
559,Sunshine,Sunshine,207
560,groove,Groove,207
561,Car Ride,Car,207
562,Freestyle,Freestyle,206
563,Jan-17,2017,206
564,pool,Pool,206
565,Pre-Game,Pregame,206
566,Funky,Funk,205
567,Old School Rap,Rap,205
568,CHILL,Chill,205
569,covers,Covers,205
570,Favorite songs,Favorite,204
571,Flow,Flow,203
572,the good stuff,Favorite,203
573,House Party,House Party,202
574,Sep-17,2017,202
575,Memories,Memories,202
576,Aug-17,2017,202
577,Snowboarding,Snowboarding,202
578,DISNEY ,Disney,202
579,trip,Car,202
580,Yacht Rock,Yacht Rock,201
581,Country Favorites,Country,200
582,My Favorites,Favorite,200
583,Cruisin,Car,200
584,Best of 2016,2016,200
585,English ,English,200
586,Boat,Boat,199
587,May-16,2016,199
588,OLDIES,Oldies,199
589,camp,Camp,198
590,funk,Funk,198
591,bangerz,Bangers,198
592,February ,Winter,197
593,Oldies But Goodies,Oldies,197
594,LOVE,Love,197
595,French,French,196
596,old jams,Old Jams,196
597,december,Winter,196
598,boat,Boat,196
599,Gold,Gold,195
600,The Weeknd,Weekeend,195
601,Fall 2013,2013,195
602,getting ready,Getting Ready,193
603,Lake,Lake,193
604,Dub,Dubstep,193
605,the best,Favorite,192
606,summer jams,Summer,192
607,21,21,192
608,Hard Rock,Hard Rock,191
609,throw back ,Throwback,191
610,For You,Music,191
611,bachata ,Bachata,191
612,Rain,Rain,191
613,Spring 2014,2014,190
614,Jesus Music,Christian,190
615,2000,2000,189
616,POP,Pop,189
617,High School ,High School,189
618,Werk,Work,188
619,Basketball,Basketball,188
620,Red Bull Editions Coachella Playlist,Red Bull Editions Coachella Playlist,188
621,America,America,188
622,??????????,????,187
623,Birthday,Birthday,187
624,Irish,Irish,186
625,Christmas Songs,Christmas,186
626,all,Music,186
627,fall 2017,2017,185
628,Dancehall,Dance,185
629,country jams,Country,185
630,Chilling,Chill,185
631,Oct-17,2017,185
632,Jazzy,Jazz,184
633,everyday,Everyday,184
634,Vibin',Vibes,184
635,Friday,Friday,184
636,Musica,Musica,184
637,Old School Hip Hop,Hip Hop,183
638,Punk Rock,Punk,183
639,Bumpin,Bump,183
640,home,Home,183
641,college,College,183
642,Chill out,Chill,182
643,Road Trippin,Car,182
644,Aug-16,2016,182
645,BBQ,Barbecue,182
646,whatever,Music,182
647,Party Music,Party,182
648,Slow jams,Slow Jams,182
649,slaps,Slaps,181
650,Yup,Yup,181
651,Car Rides,Car,181
652,COUNTRY ,Country,181
653,studying,Study,180
654,idek,Idek,180
655,dance party,Dance Party,180
656,Edm,EDM,180
657,Merengue,Merengue,180
658,Vegas,Vegas,180
659,Spanish Music,Spanish,180
660,relaxing,Relax,180
661,Deep House,Deep House,180
662,corridos,Corridos,180
663,church,Christian,179
664,Middle School,Middle School,179
665,drake ,Drake,179
666,ROAD TRIP,Car,179
667,Whatever,Music,178
668,Hipster,Hipster,178
669,fall 2016,2016,178
670,Workout Mix,Workout,178
671,life,Life,177
